claim_id,customer_age,gender,occupation,policy_state,policy_type,policy_tenure_months,annual_premium,deductible,num_prior_claims,vehicle_make,vehicle_age,incident_type,incident_severity,incident_hour,incident_weekday,authorities_contacted,witnesses,police_report_filed,days_policy_to_incident,claim_amount,is_fraud
CLM102157,54,M,Self-Employed,GJ,Comprehensive,4,23894.66,1000,1,Kia,10,Collision,Total Loss,14,2,Police,1.0,0,76,85785.3,1
CLM102158,64,M,Self-Employed,GJ,Comprehensive,56,19971.99,2500,0,Maruti,11,Theft,Major Damage,20,1,Police,1.0,0,463,47523.08,0
CLM102159,37,M,Professional,WB,Comprehensive,5,27193.03,1000,1,Honda,12,Collision,Minor Damage,20,5,Ambulance,1.0,0,52,11515.0,0
CLM102160,64,F,Self-Employed,GJ,Comprehensive,31,25910.4,2500,1,Kia,2,Collision,Minor Damage,0,3,Police,1.0,1,923,42580.28,0
CLM102161,31,M,Self-Employed,MH,Comprehensive,28,35673.66,1000,1,Kia,10,Natural Calamity,Total Loss,3,2,Police,1.0,1,817,124288.36,0
CLM102162,40,M,Retired,TN,Comprehensive,4,21603.23,1000,3,Kia,7,Collision,Trivial Damage,5,3,None,0.0,1,49,5260.66,0
CLM102163,70,M,Salaried,DL,Comprehensive,31,20190.4,5000,1,Kia,8,Theft,Trivial Damage,19,6,Ambulance,2.0,1,442,6661.28,0
CLM102164,72,M,Student,TN,Comprehensive,15,14702.7,5000,1,Toyota,15,Natural Calamity,Major Damage,8,0,Police,,1,413,38672.96,0
CLM102165,70,M,Self-Employed,MH,Comprehensive,36,15625.02,2500,0,Maruti,12,Collision,Major Damage,15,4,Police,2.0,1,800,23903.34,0
CLM102166,36,M,Retired,DL,Own Damage,14,22682.67,2500,1,Toyota,7,Collision,Minor Damage,8,0,Other,0.0,0,37,9339.72,0
CLM102167,66,F,,GJ,Comprehensive,31,13452.69,5000,0,Hyundai,13,Natural Calamity,Major Damage,4,3,Other,1.0,1,215,40421.14,0
CLM102168,71,M,Student,GJ,Third Party,22,24376.11,2500,0,Mahindra,15,Fire,Trivial Damage,6,6,Police,0.0,0,471,5400.64,0
CLM102169,73,M,Self-Employed,WB,Comprehensive,31,14645.59,2500,0,Maruti,8,Collision,Trivial Damage,18,2,Police,3.0,0,196,6192.62,0
CLM102170,19,M,Student,WB,Third Party,35,15970.51,1000,1,Maruti,1,Vandalism,Major Damage,8,6,Police,1.0,1,171,173856.96,0
CLM102171,60,F,Salaried,GJ,Third Party,20,29548.39,10000,0,Honda,8,Collision,Minor Damage,14,6,Police,,1,108,23138.18,0
CLM102172,74,F,Retired,DL,Own Damage,17,20406.86,1000,0,Honda,2,Collision,Minor Damage,11,4,Police,0.0,0,376,41256.94,0
CLM102173,61,F,Professional,TN,Comprehensive,35,16173.72,2500,0,Kia,6,Collision,Major Damage,12,1,None,0.0,1,107,117236.27,0
CLM102174,31,M,Salaried,KA,Comprehensive,15,33516.6,10000,1,Kia,10,Collision,Minor Damage,6,2,Police,0.0,1,127,17275.41,0
CLM102175,61,F,Professional,GJ,Comprehensive,20,12530.52,2500,0,Mahindra,1,Vandalism,Major Damage,5,0,None,0.0,1,67,171028.23,0
CLM102176,23,M,Retired,KA,Comprehensive,63,11691.77,1000,0,Tata,13,Collision,Minor Damage,14,5,Ambulance,3.0,1,1339,10973.29,0
CLM102177,45,F,Professional,DL,Comprehensive,24,11504.83,5000,0,Tata,2,Collision,Trivial Damage,14,4,None,0.0,1,448,9935.6,0
CLM102178,53,F,Salaried,MH,Third Party,39,16968.27,1000,0,Kia,5,Fire,Major Damage,11,2,Police,1.0,1,1054,69886.64,0
CLM102179,44,F,Self-Employed,GJ,Comprehensive,13,15789.82,5000,0,Toyota,3,Vandalism,Trivial Damage,17,4,Fire,2.0,0,186,12950.44,1
CLM102180,57,F,Student,WB,Own Damage,31,18146.26,1000,0,Honda,11,Collision,Minor Damage,3,3,Ambulance,1.0,0,512,17298.31,1
CLM102181,31,F,Retired,KA,Comprehensive,21,9347.04,1000,0,Toyota,10,Collision,Major Damage,12,5,Ambulance,1.0,0,143,47557.04,0
CLM102182,52,M,Salaried,DL,Comprehensive,18,9494.73,1000,0,Hyundai,11,Fire,Major Damage,9,4,Police,0.0,1,210,22101.74,0
CLM102183,54,M,Student,DL,Comprehensive,4,11686.38,1000,0,Kia,6,Collision,Major Damage,1,1,Police,1.0,1,66,106968.58,1
CLM102184,54,M,Professional,WB,Comprehensive,10,16986.8,2500,1,Tata,9,Collision,Minor Damage,21,6,Police,0.0,0,203,10097.16,0
CLM102185,34,M,Professional,MH,Comprehensive,80,13359.13,5000,0,Hyundai,7,Theft,Major Damage,20,2,Ambulance,0.0,1,794,36571.33,0
CLM102186,35,M,Student,WB,Comprehensive,21,10623.19,5000,1,Kia,13,Collision,Trivial Damage,15,0,,1.0,1,82,3322.23,0
CLM102187,32,F,Self-Employed,DL,Comprehensive,24,11239.42,2500,1,Toyota,3,Collision,Minor Damage,4,6,Police,3.0,1,515,20901.05,0
CLM102188,44,M,Retired,KA,Comprehensive,44,20745.35,1000,4,Mahindra,3,Collision,Trivial Damage,17,3,Police,1.0,1,249,5054.21,0
CLM102189,51,F,Professional,GJ,Comprehensive,29,27218.49,2500,0,Mahindra,3,Collision,Minor Damage,14,0,Ambulance,0.0,1,685,32220.51,0
CLM102190,38,F,Self-Employed,TN,Third Party,18,13730.99,5000,1,Toyota,11,Fire,Minor Damage,1,2,None,1.0,0,102,7517.56,0
CLM102191,41,M,Self-Employed,KA,Third Party,18,10706.47,10000,1,Mahindra,10,Collision,Major Damage,17,1,Other,1.0,1,61,22776.52,0
CLM102192,34,M,Salaried,GJ,Third Party,9,17332.74,1000,0,Hyundai,6,Theft,Trivial Damage,5,5,None,0.0,1,88,6765.4,0
CLM102193,30,F,Retired,TN,Comprehensive,33,31537.62,1000,0,Mahindra,15,Vandalism,Major Damage,7,3,None,1.0,1,430,38467.68,0
CLM102194,55,M,Retired,TN,Comprehensive,34,16256.32,5000,0,Toyota,12,Natural Calamity,Minor Damage,18,6,Police,1.0,0,747,8953.06,0
CLM102195,64,F,Retired,TN,Comprehensive,24,16789.18,1000,0,Toyota,0,Vandalism,Minor Damage,8,0,Police,4.0,1,705,35088.12,0
CLM102196,34,M,,TN,Comprehensive,21,14807.19,2500,0,Maruti,10,Natural Calamity,Minor Damage,12,6,Ambulance,0.0,0,213,9587.01,0
CLM102197,67,F,Self-Employed,DL,Comprehensive,34,18733.14,1000,1,Toyota,6,Collision,Major Damage,14,0,Ambulance,1.0,1,377,107944.38,0
CLM102198,50,M,Self-Employed,MH,Third Party,9,16800.58,2500,0,Honda,1,Theft,Trivial Damage,1,4,,0.0,1,214,7475.32,0
CLM102199,27,M,Salaried,MH,Comprehensive,30,18530.66,2500,1,Tata,8,Collision,Minor Damage,17,0,None,1.0,0,421,13180.68,0
CLM102200,38,M,Student,WB,Comprehensive,66,16321.83,2500,0,Kia,13,Natural Calamity,Minor Damage,18,3,None,0.0,1,514,8399.63,0
CLM102201,18,F,Retired,WB,Comprehensive,14,10949.58,2500,2,Hyundai,12,Theft,Major Damage,15,6,Police,2.0,0,417,42646.86,0
CLM102202,20,F,Retired,KA,Own Damage,19,12316.81,2500,0,Kia,9,Theft,Trivial Damage,1,4,None,1.0,1,326,8396.52,0
CLM102203,37,M,Professional,MH,Comprehensive,54,9813.37,10000,1,Mahindra,9,Collision,Major Damage,21,6,Police,0.0,1,677,26768.88,0
CLM102204,43,F,Salaried,KA,Third Party,24,19739.45,10000,1,Hyundai,1,Fire,Minor Damage,15,2,Fire,1.0,1,454,25495.48,0
CLM102205,63,F,Salaried,TN,Third Party,42,21971.93,1000,2,Honda,9,Collision,Minor Damage,15,3,Police,2.0,0,401,27353.0,1
CLM102206,25,M,Self-Employed,MH,Comprehensive,31,17376.04,2500,0,Mahindra,9,Fire,Minor Damage,11,1,Police,0.0,0,374,9972.17,0
CLM102207,65,M,Student,KA,Comprehensive,33,13531.47,2500,2,Honda,2,Natural Calamity,Major Damage,23,6,Police,1.0,1,947,161237.49,0
CLM102208,31,M,Professional,WB,Third Party,13,15627.25,2500,1,Tata,7,Theft,Minor Damage,20,5,None,3.0,1,360,13152.85,0
CLM102209,25,F,Salaried,WB,Third Party,13,17203.7,1000,1,Maruti,2,Collision,Major Damage,13,1,Ambulance,1.0,1,172,131987.13,0
CLM102210,57,F,Salaried,WB,Comprehensive,38,17068.12,2500,0,Mahindra,1,Collision,Trivial Damage,15,5,Ambulance,2.0,1,98,9787.91,0
CLM102211,62,M,Salaried,DL,Comprehensive,7,20578.1,1000,0,Mahindra,1,Collision,Major Damage,7,0,None,0.0,1,118,208099.75,0
CLM102212,52,F,Salaried,WB,Comprehensive,20,12488.9,1000,0,Kia,12,Collision,Trivial Damage,12,0,None,1.0,1,307,4309.62,0
CLM102213,24,F,Retired,DL,Comprehensive,34,16298.04,2500,0,Mahindra,15,Theft,Minor Damage,23,4,Police,2.0,1,228,13090.21,0
CLM102214,24,M,Professional,KA,Third Party,19,11607.44,5000,0,Tata,12,Collision,Minor Damage,5,2,None,1.0,1,235,6453.73,0
CLM102215,40,F,Salaried,WB,Comprehensive,21,19742.98,1000,0,Hyundai,1,Vandalism,Trivial Damage,23,4,Other,0.0,0,355,10824.72,1
CLM102216,43,M,Professional,MH,Comprehensive,43,11915.27,5000,1,Mahindra,14,Collision,Minor Damage,0,0,Police,0.0,1,1158,10022.24,0
CLM102217,74,M,Professional,KA,Third Party,59,33539.47,2500,1,Mahindra,5,Collision,Minor Damage,21,3,Police,3.0,0,624,28043.64,0
CLM102218,34,F,Professional,MH,Comprehensive,101,15757.29,1000,3,Maruti,10,Collision,Trivial Damage,3,0,Ambulance,1.0,0,1097,4895.15,1
CLM102219,28,M,Student,WB,Comprehensive,55,13479.67,2500,0,Kia,6,Fire,Trivial Damage,15,4,Police,2.0,0,1324,6136.99,0
CLM102220,71,M,Self-Employed,DL,Comprehensive,16,12651.14,2500,0,Mahindra,15,Natural Calamity,Minor Damage,21,6,Ambulance,2.0,1,246,19710.24,0
CLM102221,26,F,Salaried,GJ,Comprehensive,11,15665.19,2500,0,Mahindra,3,Vandalism,Trivial Damage,8,5,None,0.0,1,150,5340.14,0
CLM102222,19,M,Salaried,MH,Comprehensive,16,29760.27,2500,0,Toyota,6,Collision,Major Damage,9,0,Ambulance,3.0,1,159,90022.91,0
CLM102223,42,F,Self-Employed,WB,Comprehensive,34,11050.18,2500,0,Maruti,8,Collision,Trivial Damage,8,0,Fire,1.0,1,624,5557.83,0
CLM102224,40,M,Self-Employed,WB,Third Party,18,19898.72,1000,1,Kia,3,Theft,Major Damage,20,5,Ambulance,1.0,0,161,64299.37,0
CLM102225,53,M,Professional,MH,Comprehensive,14,11733.46,2500,0,Maruti,12,Collision,Trivial Damage,6,6,Ambulance,2.0,1,92,5243.69,0
CLM102226,68,F,Salaried,WB,Own Damage,64,10627.25,1000,2,Toyota,4,Collision,Major Damage,2,3,Fire,1.0,1,150,198680.16,1
CLM102227,71,M,Salaried,GJ,Comprehensive,17,18186.28,1000,0,Toyota,15,Theft,Minor Damage,15,1,Ambulance,1.0,1,257,14906.84,0
CLM102228,34,M,Retired,TN,Comprehensive,33,13632.65,1000,1,Kia,1,Vandalism,Minor Damage,8,5,Police,1.0,1,812,17256.47,0
CLM102229,73,M,Salaried,MH,Comprehensive,32,15259.1,10000,1,Mahindra,1,Collision,Minor Damage,5,3,Police,0.0,1,872,48285.18,0
CLM102230,54,M,Salaried,MH,Comprehensive,4,17577.46,1000,2,Honda,10,Natural Calamity,Major Damage,17,0,Police,1.0,0,21,53746.33,1
CLM102231,21,F,Self-Employed,GJ,Own Damage,61,29756.95,1000,0,Mahindra,11,Collision,Trivial Damage,21,0,Police,0.0,1,1384,7325.06,0
CLM102232,71,F,Retired,TN,Comprehensive,8,19614.85,5000,1,Toyota,1,Fire,Major Damage,15,0,None,2.0,1,106,257837.02,0
CLM102233,25,M,Self-Employed,TN,Third Party,6,13621.51,2500,0,Mahindra,3,Natural Calamity,Minor Damage,17,4,,3.0,1,171,44098.28,0
CLM102234,51,M,Self-Employed,DL,Third Party,16,20587.7,10000,0,Kia,3,Vandalism,Minor Damage,7,0,Police,0.0,1,109,34570.96,0
CLM102235,63,M,Salaried,TN,Own Damage,11,10277.43,1000,1,Tata,14,Collision,Major Damage,11,0,Police,1.0,1,115,42014.29,1
CLM102236,32,F,Student,GJ,Comprehensive,55,14392.99,2500,0,Maruti,11,Fire,Trivial Damage,21,2,None,1.0,1,1517,2914.23,0
CLM102237,33,M,Self-Employed,MH,Third Party,29,12959.99,1000,0,Toyota,8,Vandalism,Major Damage,10,2,Fire,1.0,0,601,57201.85,0
CLM102238,45,M,Student,TN,Comprehensive,15,36647.0,2500,2,Tata,8,Collision,Minor Damage,4,0,Ambulance,2.0,0,66,16801.66,1
CLM102239,68,M,Self-Employed,DL,Comprehensive,6,11658.1,5000,0,Toyota,6,Theft,Major Damage,9,5,None,0.0,1,134,112984.17,0
CLM102240,30,M,Self-Employed,KA,Comprehensive,31,19528.91,5000,0,Tata,13,Vandalism,Minor Damage,2,3,None,0.0,0,552,9678.03,0
CLM102241,55,M,Professional,WB,Third Party,19,12699.85,2500,0,Mahindra,0,Collision,Trivial Damage,20,2,Police,2.0,0,121,5469.87,0
CLM102242,43,F,Professional,TN,Comprehensive,34,11456.49,1000,1,Toyota,15,Collision,Minor Damage,9,6,Police,1.0,1,93,14787.25,0
CLM102243,24,M,Self-Employed,DL,Own Damage,29,12068.35,10000,2,Toyota,15,Collision,Total Loss,2,5,Ambulance,0.0,0,748,69782.07,0
CLM102244,58,M,Self-Employed,TN,Third Party,12,16198.47,1000,0,Mahindra,15,Collision,Minor Damage,6,0,None,2.0,1,195,11016.76,0
CLM102245,65,F,Self-Employed,DL,Comprehensive,37,15009.74,2500,0,Tata,12,Collision,Major Damage,8,5,Ambulance,1.0,1,648,41093.44,0
CLM102246,50,F,Salaried,DL,Third Party,7,13584.1,1000,1,Hyundai,11,Natural Calamity,Trivial Damage,5,5,Police,3.0,1,162,4589.9,0
CLM102247,28,M,Student,DL,Own Damage,18,22366.34,2500,1,Toyota,10,Collision,Major Damage,15,4,Fire,0.0,1,537,52985.04,0
CLM102248,26,F,Self-Employed,KA,Comprehensive,20,14065.94,1000,0,Tata,12,Collision,Total Loss,12,2,Police,0.0,0,477,52768.57,0
CLM102249,42,F,Retired,KA,Third Party,22,21578.8,1000,0,Tata,3,Collision,Trivial Damage,14,6,Police,0.0,1,128,10793.96,0
CLM102250,46,M,Self-Employed,DL,Third Party,7,15395.35,5000,0,Toyota,6,Collision,Trivial Damage,13,2,Police,3.0,1,196,3716.77,0
CLM102251,49,M,Professional,MH,Comprehensive,53,10961.76,1000,1,Maruti,9,Collision,Minor Damage,0,5,Police,1.0,0,896,11304.3,1
CLM102252,31,F,Student,DL,Comprehensive,12,15974.5,1000,1,Mahindra,4,Collision,Trivial Damage,16,3,Fire,0.0,1,291,5125.7,0
CLM102253,46,F,Professional,TN,Own Damage,4,15913.08,1000,0,Hyundai,0,Collision,Trivial Damage,17,0,Ambulance,2.0,1,77,6410.92,0
CLM102254,34,M,,MH,Third Party,29,40576.12,5000,2,Maruti,11,Collision,Major Damage,20,1,Police,3.0,1,838,26591.69,0
CLM102255,57,M,Retired,MH,Own Damage,79,25869.92,2500,0,Mahindra,4,Collision,Trivial Damage,5,0,Police,1.0,0,1972,12013.85,0
CLM102256,63,F,Professional,MH,Third Party,4,28103.11,5000,1,Kia,10,Collision,Minor Damage,10,0,Other,1.0,1,52,16542.89,0
CLM102257,55,M,Self-Employed,MH,Own Damage,43,14995.23,2500,1,Hyundai,15,Collision,Major Damage,16,5,None,0.0,0,301,20435.03,0
CLM102258,18,M,Salaried,TN,Comprehensive,24,12643.74,2500,1,Honda,9,Collision,Major Damage,19,2,,2.0,1,61,55360.67,0
CLM102259,74,M,Salaried,TN,Comprehensive,7,14158.62,2500,0,Hyundai,15,Collision,Minor Damage,13,5,Police,1.0,0,144,12074.49,0
CLM102260,19,F,Professional,WB,Own Damage,20,13875.2,5000,1,Mahindra,13,Theft,Major Damage,3,6,Other,,1,454,63054.54,1
CLM102261,74,M,Professional,WB,Own Damage,66,21868.37,1000,1,Hyundai,6,Theft,Minor Damage,18,3,Police,2.0,1,609,31484.96,0
CLM102262,19,M,Professional,MH,Own Damage,57,12897.51,1000,0,Mahindra,12,Natural Calamity,Minor Damage,4,4,Ambulance,1.0,1,1415,16829.03,0
CLM102263,47,M,Retired,TN,Comprehensive,113,20713.63,1000,1,Kia,13,Collision,Minor Damage,3,1,None,3.0,0,2851,6325.74,0
CLM102264,24,M,Salaried,MH,Third Party,39,23366.2,2500,1,Tata,11,Vandalism,Major Damage,21,6,Ambulance,0.0,1,810,29291.8,0
CLM102265,23,F,Self-Employed,KA,Own Damage,15,18720.31,1000,1,Toyota,3,Collision,Minor Damage,17,1,Police,1.0,0,25,22538.34,0
CLM102266,56,M,Salaried,WB,Comprehensive,43,10459.64,1000,0,Maruti,7,Fire,Minor Damage,11,0,Other,1.0,0,358,13640.44,0
CLM102267,59,M,Self-Employed,TN,Third Party,13,18221.99,5000,0,Toyota,10,Collision,Major Damage,0,4,None,1.0,1,319,63198.91,0
CLM102268,24,F,Salaried,WB,Comprehensive,21,10206.76,1000,0,Tata,6,Collision,Minor Damage,22,6,Police,1.0,1,628,17871.78,0
CLM102269,73,M,Self-Employed,MH,Own Damage,13,15780.68,1000,3,Hyundai,2,Theft,Total Loss,9,1,Fire,3.0,1,342,410403.94,0
CLM102270,36,F,Salaried,WB,Own Damage,38,14286.15,2500,0,Maruti,12,Vandalism,Trivial Damage,12,0,Ambulance,1.0,0,971,5833.76,0
CLM102271,36,M,Self-Employed,TN,Comprehensive,36,19136.06,5000,0,Hyundai,2,Collision,Minor Damage,10,3,Ambulance,0.0,1,452,17695.23,0
CLM102272,34,F,Salaried,KA,Comprehensive,14,13308.43,1000,0,Honda,0,Collision,Major Damage,18,0,Other,1.0,0,169,98154.98,0
CLM102273,44,M,Self-Employed,WB,Comprehensive,50,12799.71,2500,0,Honda,13,Vandalism,Minor Damage,8,3,Ambulance,4.0,1,1365,10067.2,0
CLM102274,28,F,Student,GJ,Comprehensive,61,13371.37,1000,2,Hyundai,13,Natural Calamity,Minor Damage,9,3,Police,0.0,0,678,11777.15,0
CLM102275,42,M,Salaried,MH,Third Party,16,13724.27,1000,0,Kia,10,Vandalism,Trivial Damage,23,5,None,1.0,1,151,6853.77,0
CLM102276,29,M,Salaried,WB,Comprehensive,32,10156.14,1000,2,Maruti,8,Collision,Minor Damage,8,4,Police,1.0,0,481,15162.9,0
CLM102277,20,F,Salaried,KA,Comprehensive,63,23841.63,5000,1,Hyundai,9,Collision,Trivial Damage,20,3,Ambulance,0.0,1,1627,8303.03,0
CLM102278,39,M,Professional,WB,Own Damage,30,14014.11,1000,0,Kia,9,Fire,Minor Damage,17,6,Ambulance,0.0,0,297,7764.61,0
CLM102279,56,M,Self-Employed,MH,Own Damage,18,20728.04,1000,0,Kia,15,Natural Calamity,Minor Damage,2,4,Ambulance,0.0,1,229,8978.79,0
CLM102280,61,M,Retired,WB,Comprehensive,22,17993.43,2500,1,Maruti,9,Theft,Trivial Damage,22,0,Other,3.0,1,440,7664.73,0
CLM102281,38,M,Student,WB,Comprehensive,15,14239.2,10000,0,Maruti,6,Collision,Minor Damage,8,4,None,0.0,0,240,17293.65,0
CLM102282,36,M,Retired,DL,Comprehensive,51,13094.1,2500,2,Toyota,11,Vandalism,Major Damage,12,4,None,0.0,0,1026,22942.12,0
CLM102283,62,M,Student,WB,Third Party,47,9990.84,2500,0,Mahindra,1,Theft,Trivial Damage,13,3,Other,1.0,0,1011,14084.03,0
CLM102284,56,F,Self-Employed,GJ,Third Party,13,12405.64,5000,2,Toyota,2,Collision,Minor Damage,7,2,Ambulance,1.0,1,326,43230.44,1
CLM102285,65,F,Professional,DL,Third Party,15,10533.66,2500,1,Mahindra,0,Collision,Total Loss,23,4,Police,0.0,0,379,1660867.27,1
CLM102286,69,M,Professional,DL,Comprehensive,6,11235.72,5000,0,Tata,11,Collision,Minor Damage,0,2,Police,1.0,0,180,16353.33,0
CLM102287,64,M,Student,WB,Own Damage,35,20516.82,1000,0,Kia,3,Natural Calamity,Minor Damage,11,4,Ambulance,0.0,1,343,47933.78,0
CLM102288,71,M,Student,KA,Comprehensive,9,13156.87,1000,1,Hyundai,0,Collision,Minor Damage,7,2,Other,1.0,1,30,58218.92,0
CLM102289,41,F,Salaried,GJ,Comprehensive,86,11946.06,2500,2,Hyundai,3,Natural Calamity,Trivial Damage,19,5,Ambulance,1.0,0,2244,9082.57,0
CLM102290,40,F,Student,GJ,Third Party,11,13313.91,1000,0,Maruti,5,Fire,Major Damage,18,3,None,0.0,1,175,87525.47,1
CLM102291,36,M,Self-Employed,DL,Comprehensive,3,10510.0,1000,3,Maruti,3,Collision,Minor Damage,13,1,Police,1.0,1,13,30214.06,1
CLM102292,31,M,Student,TN,Own Damage,8,10836.91,2500,0,Tata,15,Collision,Trivial Damage,10,4,Police,0.0,1,58,3376.89,0
CLM102293,60,F,Retired,WB,Comprehensive,29,21651.53,1000,0,Hyundai,9,Natural Calamity,Major Damage,16,5,Fire,2.0,0,472,22582.13,0
CLM102294,58,M,Student,GJ,Own Damage,22,26911.51,2500,0,Maruti,3,Collision,Minor Damage,22,4,,0.0,1,176,27299.87,0
CLM102295,63,M,Salaried,MH,Comprehensive,11,15084.5,5000,0,Maruti,10,Collision,Major Damage,16,5,,1.0,1,152,36689.6,0
CLM102296,27,F,Salaried,DL,Own Damage,21,9300.65,1000,1,Kia,11,Collision,Total Loss,1,5,Police,1.0,1,492,58071.05,0
CLM102297,46,F,Salaried,KA,Comprehensive,14,26075.26,2500,0,Honda,12,Collision,Minor Damage,4,2,None,0.0,0,267,8603.04,0
CLM102298,30,F,Self-Employed,TN,Third Party,34,32291.2,2500,0,Hyundai,9,Theft,Minor Damage,7,6,Police,2.0,0,762,18074.86,0
CLM102299,68,M,Retired,GJ,Comprehensive,9,16971.85,1000,2,Mahindra,1,Collision,Minor Damage,14,3,Police,3.0,1,97,88956.98,0
CLM102300,33,F,Retired,KA,Comprehensive,26,12185.5,2500,1,Tata,2,Vandalism,Minor Damage,4,3,Police,2.0,0,712,37487.66,0
CLM102301,26,F,Student,DL,Own Damage,27,20719.0,1000,0,Kia,14,Collision,Total Loss,19,4,Police,2.0,0,130,59720.09,0
CLM102302,50,F,Salaried,TN,Own Damage,22,14794.55,2500,2,Mahindra,15,Vandalism,Minor Damage,4,1,Other,1.0,1,630,7080.91,0
CLM102303,68,F,Retired,KA,Third Party,31,19742.57,2500,2,Kia,8,Collision,Major Damage,10,3,Police,3.0,0,852,68197.32,0
CLM102304,70,F,Salaried,GJ,Comprehensive,21,9696.35,5000,0,Honda,3,Collision,Minor Damage,8,6,Police,2.0,0,224,37439.8,0
CLM102305,23,F,Salaried,TN,Comprehensive,38,12930.54,1000,0,Tata,11,Collision,Major Damage,20,6,Fire,2.0,1,243,23042.6,0
CLM102306,36,F,Professional,DL,Third Party,22,10418.17,5000,1,Toyota,12,Collision,Major Damage,3,6,Ambulance,1.0,0,236,27541.85,0
CLM102307,26,M,Self-Employed,KA,Third Party,52,11265.2,1000,0,Maruti,10,Theft,Minor Damage,6,5,Other,0.0,1,258,8096.64,0
CLM102308,35,M,Retired,DL,Comprehensive,26,9615.17,2500,0,Toyota,4,Natural Calamity,Total Loss,18,2,Police,0.0,1,68,252326.79,0
CLM102309,48,M,Self-Employed,DL,Own Damage,50,11285.76,2500,0,Toyota,8,Collision,Total Loss,6,6,Police,2.0,0,517,113617.59,0
CLM102310,33,M,Professional,TN,Comprehensive,14,23651.72,1000,0,Honda,1,Natural Calamity,Major Damage,0,5,Ambulance,3.0,1,55,263525.74,0
CLM102311,21,F,Professional,KA,Comprehensive,10,11662.47,10000,2,Maruti,2,Collision,Trivial Damage,13,4,,1.0,1,172,10292.84,0
CLM102312,47,M,Professional,WB,Comprehensive,38,9571.18,2500,1,Mahindra,12,Collision,Trivial Damage,23,2,Other,1.0,0,987,4460.68,0
CLM102313,21,M,Retired,GJ,Comprehensive,23,11623.85,10000,0,Toyota,14,Collision,Trivial Damage,20,4,Police,0.0,1,233,5476.27,0
CLM102314,30,M,Self-Employed,KA,Own Damage,2,9711.38,2500,0,Tata,3,Collision,Major Damage,10,5,Police,0.0,1,32,75484.63,0
CLM102315,18,M,Student,WB,Third Party,12,15313.29,10000,2,Honda,4,Vandalism,Total Loss,16,1,None,1.0,1,169,384086.78,0
CLM102316,22,M,Self-Employed,MH,Comprehensive,29,11750.06,10000,0,Maruti,12,Collision,Minor Damage,19,3,Police,2.0,1,818,13832.98,0
CLM102317,42,M,Student,TN,Third Party,21,13805.94,1000,0,Hyundai,11,Theft,Trivial Damage,22,4,,2.0,1,185,4201.73,0
CLM102318,66,M,Salaried,WB,Own Damage,12,12215.29,1000,1,Maruti,4,Theft,Major Damage,1,4,Police,4.0,1,68,88010.64,0
CLM102319,62,F,Student,KA,Comprehensive,22,13784.65,10000,1,Mahindra,7,Collision,Total Loss,4,5,Ambulance,0.0,0,225,211923.21,1
CLM102320,23,F,Professional,GJ,Own Damage,25,9486.1,1000,2,Maruti,5,Fire,Major Damage,13,5,Police,1.0,0,436,47892.64,0
CLM102321,19,M,Professional,DL,Comprehensive,4,11444.28,2500,1,Toyota,8,Fire,Major Damage,23,3,Other,0.0,1,62,93976.0,1
CLM102322,37,M,Salaried,GJ,Comprehensive,49,18212.75,1000,0,Toyota,0,Collision,Minor Damage,5,5,None,0.0,1,389,31377.51,0
CLM102323,55,F,Professional,WB,Third Party,57,18878.01,5000,1,Maruti,0,Collision,Minor Damage,15,5,Police,0.0,0,1399,29803.22,0
CLM102324,60,F,Retired,TN,Comprehensive,12,14065.84,1000,0,Tata,9,Collision,Minor Damage,2,6,Police,1.0,1,112,16280.76,0
CLM102325,64,M,Retired,GJ,Third Party,77,14428.84,2500,0,Mahindra,9,Theft,Trivial Damage,13,3,Police,0.0,0,1723,7770.9,0
CLM102326,37,M,Salaried,MH,Own Damage,21,9102.36,2500,1,Hyundai,4,Theft,Minor Damage,3,6,Ambulance,1.0,1,546,34336.62,1
CLM102327,27,M,Self-Employed,TN,Comprehensive,13,16797.41,2500,2,Mahindra,0,Collision,Major Damage,6,2,Ambulance,2.0,0,178,213205.23,0
CLM102328,19,M,Retired,GJ,Comprehensive,13,23527.94,2500,1,Hyundai,0,Collision,Major Damage,4,4,Ambulance,2.0,1,90,223278.37,0
CLM102329,26,F,Professional,MH,Third Party,74,9724.95,1000,1,Hyundai,11,Natural Calamity,Trivial Damage,9,3,None,2.0,0,1792,4358.09,0
CLM102330,21,M,Self-Employed,WB,Comprehensive,9,20081.67,1000,0,Maruti,13,Theft,Major Damage,5,3,Ambulance,4.0,1,101,25939.9,0
CLM102331,67,F,Retired,KA,Third Party,26,9667.72,1000,0,Tata,10,Collision,Minor Damage,5,2,Other,0.0,1,54,23770.23,0
CLM102332,33,M,Salaried,TN,Third Party,28,15189.43,5000,0,Tata,0,Collision,Trivial Damage,17,4,,1.0,1,270,9490.3,0
CLM102333,64,M,Student,GJ,Comprehensive,38,9436.07,2500,0,Kia,5,Collision,Minor Damage,20,6,Other,2.0,1,80,34977.83,0
CLM102334,49,M,Salaried,TN,Comprehensive,24,9948.92,2500,0,Honda,11,Collision,Major Damage,23,0,Police,1.0,1,350,28290.92,0
CLM102335,48,F,Self-Employed,GJ,Comprehensive,70,11205.13,2500,0,Mahindra,12,Theft,Trivial Damage,22,6,Ambulance,1.0,0,1334,4631.11,0
